t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
8.26e-07,6.34252e-06,0.874729,277.766,100521,72326.9,6.34252e-06,-3.18787e-05
8.36e-07,6.3513e-06,0.880479,277.552,100027,72008.5,6.3513e-06,-3.23674e-05
8.46e-07,6.36013e-06,0.885968,277.343,99536,71691.3,6.36013e-06,-3.28471e-05
8.56e-07,6.36902e-06,0.891199,277.139,99046.8,71375.2,6.36902e-06,-3.33175e-05
8.66e-07,6.37796e-06,0.896177,276.94,98560.1,71060.3,6.37796e-06,-3.37785e-05
8.76e-07,6.38694e-06,0.900906,276.747,98075.9,70746.6,6.38694e-06,-3.42298e-05
8.86e-07,6.39597e-06,0.905389,276.559,97594.5,70434.2,6.39597e-06,-3.46713e-05
8.96e-07,6.40505e-06,0.909632,276.376,97115.8,70122.9,6.40505e-06,-3.51029e-05
9.06e-07,6.41416e-06,0.913638,276.199,96640.1,69812.9,6.41416e-06,-3.55244e-05
9.16e-07,6.42332e-06,0.917414,276.027,96167.3,69504.1,6.42332e-06,-3.59358e-05
9.26e-07,6.43251e-06,0.920962,275.86,95697.7,69196.6,6.43251e-06,-3.63369e-05
9.36e-07,6.44174e-06,0.924289,275.7,95231.4,68890.3,6.44174e-06,-3.67277e-05
9.46e-07,6.451e-06,0.927399,275.544,94768.3,68585.3,6.451e-06,-3.7108e-05
9.56e-07,6.46029e-06,0.930296,275.394,94308.5,68281.6,6.46029e-06,-3.7478e-05
9.66e-07,6.4696e-06,0.932987,275.25,93852.3,67979.3,6.4696e-06,-3.78374e-05
9.76e-07,6.47895e-06,0.935476,275.111,93399.5,67678.2,6.47895e-06,-3.81863e-05
9.86e-07,6.48831e-06,0.937768,274.977,92950.2,67378.4,6.48831e-06,-3.85246e-05
9.96e-07,6.4977e-06,0.939868,274.849,92504.6,67080.1,6.4977e-06,-3.88524e-05
1.006e-06,6.50711e-06,0.941781,274.726,92062.6,66783,6.50711e-06,-3.91697e-05
1.016e-06,6.51653e-06,0.943512,274.609,91624.3,66487.3,6.51653e-06,-3.94765e-05
1.026e-06,6.52598e-06,0.945066,274.497,91189.7,66193,6.52598e-06,-3.97728e-05
1.036e-06,6.53544e-06,0.946448,274.39,90758.9,65900.1,6.53544e-06,-4.00586e-05
1.046e-06,6.54491e-06,0.947664,274.288,90331.8,65608.6,6.54491e-06,-4.03341e-05
1.056e-06,6.55439e-06,0.948717,274.192,89908.5,65318.5,6.55439e-06,-4.05992e-05
1.066e-06,6.56388e-06,0.949614,274.1,89489,65029.8,6.56388e-06,-4.08541e-05
1.076e-06,6.57338e-06,0.950358,274.014,89073.3,64742.5,6.57338e-06,-4.10988e-05
1.086e-06,6.58289e-06,0.950954,273.932,88661.4,64456.7,6.58289e-06,-4.13334e-05
1.096e-06,6.5924e-06,0.951407,273.856,88253.3,64172.4,6.5924e-06,-4.1558e-05
1.106e-06,6.60191e-06,0.951722,273.784,87849.1,63889.5,6.60191e-06,-4.17727e-05
1.116e-06,6.61143e-06,0.951903,273.717,87448.7,63608.1,6.61143e-06,-4.19775e-05
1.126e-06,6.62095e-06,0.951955,273.655,87052,63328.1,6.62095e-06,-4.21727e-05
1.136e-06,6.63047e-06,0.951882,273.597,86659.2,63049.7,6.63047e-06,-4.23583e-05
1.146e-06,6.63999e-06,0.951689,273.544,86270.2,62772.8,6.63999e-06,-4.25345e-05
1.156e-06,6.6495e-06,0.951378,273.495,85884.9,62497.4,6.6495e-06,-4.27013e-05
1.166e-06,6.65902e-06,0.950956,273.451,85503.3,62223.5,6.65902e-06,-4.2859e-05
1.176e-06,6.66852e-06,0.950425,273.411,85125.5,61951.2,6.66852e-06,-4.30075e-05
1.186e-06,6.67802e-06,0.94979,273.375,84751.4,61680.5,6.67802e-06,-4.31472e-05
1.196e-06,6.68752e-06,0.949054,273.343,84381,61411.3,6.68752e-06,-4.32781e-05
