t_s,R_m,U_m_s,T_g_K,p_g_pa,p_inf_pa,delta_T_m,Q_out_W
8.06e-07,5.88714e-06,-0.283068,298.973,135312,111227,5.88714e-06,1.12005e-05
8.16e-07,5.88431e-06,-0.283401,299.066,135550,111338,5.88431e-06,1.13745e-05
8.26e-07,5.88147e-06,-0.283539,299.157,135787,111450,5.88147e-06,1.15436e-05
8.36e-07,5.87864e-06,-0.283484,299.245,136024,111561,5.87864e-06,1.17075e-05
8.46e-07,5.8758e-06,-0.283235,299.331,136260,111672,5.8758e-06,1.1866e-05
8.56e-07,5.87297e-06,-0.282793,299.414,136495,111782,5.87297e-06,1.2019e-05
8.66e-07,5.87015e-06,-0.282159,299.493,136728,111892,5.87015e-06,1.21662e-05
8.76e-07,5.86733e-06,-0.281336,299.57,136961,112002,5.86733e-06,1.23075e-05
8.86e-07,5.86452e-06,-0.280324,299.644,137191,112111,5.86452e-06,1.24427e-05
8.96e-07,5.86173e-06,-0.279125,299.714,137420,112220,5.86173e-06,1.25717e-05
9.06e-07,5.85894e-06,-0.277742,299.781,137647,112328,5.85894e-06,1.26943e-05
9.16e-07,5.85617e-06,-0.276177,299.845,137872,112436,5.85617e-06,1.28103e-05
9.26e-07,5.85342e-06,-0.274434,299.906,138095,112543,5.85342e-06,1.29197e-05
9.36e-07,5.85068e-06,-0.272515,299.962,138315,112650,5.85068e-06,1.30223e-05
9.46e-07,5.84797e-06,-0.270423,300.016,138532,112756,5.84797e-06,1.31179e-05
9.56e-07,5.84528e-06,-0.268164,300.065,138747,112863,5.84528e-06,1.32066e-05
9.66e-07,5.84261e-06,-0.265739,300.111,138958,112968,5.84261e-06,1.32881e-05
9.76e-07,5.83996e-06,-0.263155,300.153,139167,113073,5.83996e-06,1.33625e-05
9.86e-07,5.83734e-06,-0.260414,300.192,139372,113178,5.83734e-06,1.34296e-05
9.96e-07,5.83475e-06,-0.257523,300.226,139574,113282,5.83475e-06,1.34894e-05
1.006e-06,5.83219e-06,-0.254485,300.257,139772,113386,5.83219e-06,1.35418e-05
1.016e-06,5.82966e-06,-0.251307,300.283,139967,113489,5.82966e-06,1.35868e-05
1.026e-06,5.82717e-06,-0.247993,300.306,140157,113592,5.82717e-06,1.36244e-05
1.036e-06,5.8247e-06,-0.24455,300.325,140344,113694,5.8247e-06,1.36545e-05
1.046e-06,5.82228e-06,-0.240983,300.34,140527,113796,5.82228e-06,1.36771e-05
1.056e-06,5.81989e-06,-0.237298,300.351,140706,113897,5.81989e-06,1.36923e-05
1.066e-06,5.81753e-06,-0.233501,300.358,140880,113998,5.81753e-06,1.37e-05
1.076e-06,5.81522e-06,-0.2296,300.361,141050,114098,5.81522e-06,1.37003e-05
1.086e-06,5.81294e-06,-0.225599,300.36,141215,114198,5.81294e-06,1.36933e-05
1.096e-06,5.8107e-06,-0.221507,300.355,141376,114297,5.8107e-06,1.36789e-05
1.106e-06,5.80851e-06,-0.217329,300.346,141532,114396,5.80851e-06,1.36572e-05
1.116e-06,5.80636e-06,-0.213074,300.334,141684,114494,5.80636e-06,1.36283e-05
1.126e-06,5.80425e-06,-0.208747,300.317,141831,114592,5.80425e-06,1.35924e-05
1.136e-06,5.80218e-06,-0.204356,300.297,141973,114689,5.80218e-06,1.35494e-05
1.146e-06,5.80016e-06,-0.199908,300.273,142110,114786,5.80016e-06,1.34995e-05
1.156e-06,5.79818e-06,-0.195411,300.246,142243,114882,5.79818e-06,1.34428e-05
1.166e-06,5.79625e-06,-0.190871,300.215,142370,114978,5.79625e-06,1.33794e-05
1.176e-06,5.79437e-06,-0.186296,300.18,142493,115073,5.79437e-06,1.33095e-05
1.186e-06,5.79253e-06,-0.181693,300.142,142611,115167,5.79253e-06,1.32331e-05
1.196e-06,5.79073e-06,-0.17707,300.101,142724,115261,5.79073e-06,1.31506e-05
