node_index,r_m,z_m,pressure_re_pa,pressure_im_pa,pressure_abs_pa,pressure_phase_rad,grad_p_abs_pa_per_m,velocity_abs_m_s,gorkov_potential_j,gorkov_force_r_n,gorkov_force_z_n,gorkov_force_abs_n,candidate_marker,candidate_score
279,0.00073812726699663822,0.02607661070427374,0,-128132.66019791589,128132.66019791589,-1.5707963267948966,9597719.11503613,0.015305856107871461,1.8574762182126008e-15,5.4780909578909565e-14,-3.921758638479431e-14,6.7371857152237313e-14,9,0.4217745504318815
280,0.015187224875302829,0.026238140027978279,0,-21179.665102567935,21179.665102567935,-1.5707963267948966,7619945.0125784185,0.012151822793990883,1.4641979768546929e-16,6.5436397256457426e-14,-3.1664088865271206e-14,7.2694818313086809e-14,0,0
281,0.01559594301993098,0.025652967096766989,0,-22217.75240937604,22217.75240937604,-1.5707963267948966,5743160.4057824975,0.0091588413582158329,1.0788613423332701e-16,4.6859867894947678e-14,-2.8682215759253178e-14,5.494102947699742e-14,0,0
282,0.016085732260977641,0.02624055332302188,0,-26103.22950712789,26103.22950712789,-1.5707963267948966,4394333.0442566369,0.007007813883622249,1.0376274865833988e-16,2.3403523530045361e-14,-2.6906673598292414e-14,3.5660818803645447e-14,0,0
283,0.0052200541752476862,0.021732678948476379,0,-3604.6810474706754,3604.6810474706754,-1.5707963267948966,22316415.643821523,0.035588856330736454,8.5909747093077497e-16,2.3978927481338971e-13,-1.33407932396163e-13,2.7440220979749874e-13,0,0
284,0.0045616506478451391,0.021606763095243231,0,-16846.35685596535,16846.35685596535,-1.5707963267948966,23637274.091099009,0.037695280689543038,9.9166047825942884e-16,1.8511428506180907e-13,-1.6454637403574716e-13,2.4767480239672486e-13,0,0
285,0.0048617544612504782,0.020923919847094151,0,-4712.8873816409759,4712.8873816409759,-1.5707963267948966,21827371.803623725,0.034808959090695146,8.2286941733858891e-16,1.7359079374220454e-13,-1.4017280053442123e-13,2.2311920061194026e-13,0,0
286,0.027580461962486161,0.055105273337912743,-0,-11094.46548778135,11094.46548778135,-1.5707963267948966,504235.48902441276,0.00080412395351297042,1.3174143203488951e-17,-5.7429304802593492e-18,-4.2857217969037868e-16,4.2861065602136322e-16,0,0
287,0.026361166940291721,0.060938442554020263,-0,6258.0682460349763,6258.0682460349763,1.5707963267948966,3165979.1623986876,0.0050489101545259487,2.1315892912958321e-17,1.2840993989635955e-15,-1.5861712885697432e-15,2.0407965658295454e-15,0,0
288,0.0051001111583461054,0.067609943948150439,0,49226.022304806414,49226.022304806414,1.5707963267948966,10536967.881600216,0.016803712660893907,4.4196168327868818e-16,1.1713305671707353e-13,-9.6796569229500698e-15,1.1753233059048554e-13,0,0
289,0.01140813330066952,0.042478408546487323,-0,-10513.846724460498,10513.846724460498,-1.5707963267948966,4507277.4013717119,0.0071879306444358792,4.6427878957914353e-17,-6.864766797567412e-15,1.7509207076473473e-15,7.0845427876082605e-15,0,0
290,0.024286470397034909,0.04594631764497429,0,13093.343790947501,13093.343790947501,1.5707963267948966,4359141.3634219104,0.0069516923409312769,5.0466698977033189e-17,5.9781911662581685e-15,8.9194844356432596e-15,1.0737596202968779e-14,0,0
291,0.0055208150763914367,0.02111527224563689,0,7062.0724535039299,7062.0724535039299,1.5707963267948966,20208795.904044747,0.032227753126893487,7.085473235360507e-16,2.1645764287821469e-13,-1.1118008528310254e-13,2.4334116487752475e-13,0,0
292,0.0071973081563304342,0.034446189420551929,0,36992.509197926804,36992.509197926804,1.5707963267948966,10151752.789835997,0.01618939516582503,3.1909642445446827e-16,1.0495745441368422e-13,4.2784721491699947e-14,1.1334284110663069e-13,0,0
293,0.01567159458553247,0.02678328331591253,0,-25629.979519876495,25629.979519876495,-1.5707963267948966,6439218.046916944,0.010268871561256231,1.3938457989695122e-16,5.1794490789991058e-14,-3.1357113801002182e-14,6.0546988877428658e-14,0,0
294,0.0020522719570897768,0.031707707762011712,0,-75145.10218833822,75145.10218833822,-1.5707963267948966,19352007.114963852,0.030861398708377015,1.2293001600381963e-15,-3.6673097773591954e-14,2.3964204603905689e-13,2.4243190039699171e-13,0,0
295,0.0014662576764819871,0.0311373819843733,0,-90409.251290989181,90409.251290989181,-1.5707963267948966,17078537.340208843,0.027235808000738965,1.348133219220968e-15,-2.9959476776704337e-14,2.3164375015396369e-13,2.3357310897045886e-13,0,0
296,0.0027808887589699338,0.029630982206255579,0,-83220.222632205594,83220.222632205594,-1.5707963267948966,23489582.881988097,0.03745975177189554,1.6669224706416127e-15,3.9389191673219959e-14,1.5666258243794204e-13,1.6153845720692842e-13,0,0
297,0.0038566527797250089,0.030846750322120621,0,-46442.072104123486,46442.072104123486,-1.5707963267948966,25902414.019796927,0.041307587467570066,1.3787416302834319e-15,1.3312246802396444e-13,1.7581635052301015e-13,2.205288656934085e-13,0,0
